codigo_inep,nome_escola,codigo_ibge,latitude,longitude,tem_rampa,tem_banheiro_pcd,acesso_total
25110195,EMEF INDIO JOSE GOMES DOS SANTOS,2509057,-6.76487657,-35.02625161,False,False,False
25128809,EEEIFM INDIO PEDRO MAXIMO DE LIMA,2509057,-6.7726091,-35.017225,True,True,True
25129759,CRECHE E ESCOLA MUNICIPAL INFANTIL SEVERINA DAS DORES ALVES,2509057,-6.76969166,-35.02075077,False,False,False
25111841,EEEIFM INDIGENA JOSE FERREIRA PADILHA,2509057,-6.7351971,-34.94041,False,True,False
25120760,EEEIFM CACIQUE INIGUACU,2509057,-6.762754,-34.9544789,True,True,False
25088963,EEEM AUGUSTO DOS ANJOS,2509107,-7.0602527,-35.3173228,True,True,True
25088971,EEEF LUIZ MARIA DE FRANCA,2509107,-7.056096392,-35.31975503,True,True,False
25089013,ECIT JOSE PAULO DE FRANCA,2509107,-7.0606352,-35.32116124,True,False,False
25089072,EMEF PREFEITO EPITACIO DANTAS,2509107,-7.060093,-35.31669,True,False,True
25089137,EMEIEF PROFESSORA MARIA DAS DORES SILVA,2509107,-7.05299758,-35.32268031,False,False,False
25114972,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL TIRADENTES,2509107,-7.032777,-35.28695,False,True,True
25018574,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL LUIZ PEIXOTO DA SILVA,2509156,-6.787649598,-38.35127072,False,False,False
25018779,ESCOLA MUNICIPAL DE ENSINO INFANTIL E FUNDAMENTAL JOAQUIM VIEIRA DA SILVA,2509156,-6.8781003,-38.3567286,True,True,True
25019520,CRECHE MUNICIPAL JOSE CARLEUSON BRAGA,2509156,-6.83555836,-38.34139198,True,True,True
25019538,ECIT ESTADUAL DOUTOR SILVA MARIZ,2509156,-6.84420171,-38.34917197,True,True,True
25019554,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL INTEGRAL JULIA MARIA DE CARVALHO SILVA,2509156,-6.84639,-38.3450067,True,True,True
25019562,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL INSTITUTO JOAQUINA DE PAIVA GADELHA,2509156,-6.84432101,-38.35536114,True,True,True
25113968,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL INTEGRAL JOAO ALEXANDRE DE OLIVEIRA,2509156,-6.79846724,-38.32341523,True,True,True
25113976,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL FRANCISCO BATISTA DOS SANTOS,2509156,-6.83077189,-38.31792321,True,False,True
25117190,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DOROTEU DOS SANTOS PASSOS,2509156,-6.842442,-38.3184814,True,True,True
25125010,ESCOLA DA VIDA,2509156,-6.84463,-38.34954,False,False,False
25125133,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL INTEGRAL VEREADOR JOAO GONCALVES DE SOUSA,2509156,-6.8422869,-38.3447471,True,True,True
25127640,ESCOLINHA RECANTO DO SABER,2509156,-6.8448453,-38.3481595,False,False,False
25133136,ESCOLA DE EDUCACAO INFANTIL PASSO A PASSO,2509156,-6.84438877,-38.35025745,False,False,False
25078127,CRECHE IRENITA BATISTA DA SILVA,2509206,-7.18492329,-35.73206733,True,False,True
25078135,ECI MARIA ZECA DE SOUZA,2509206,-7.18545583,-35.73282407,True,True,True
25078143,EEEFM EVERALDO AGRA,2509206,-7.252692519,-35.83464804,True,True,False
25078178,EMEIEF ANA DA SILVA MEIRA,2509206,-7.1464182,-35.7587853,False,True,True
25078194,EMEIEF ANTONIO RODRIGUES,2509206,-7.14069793,-35.72513089,True,True,False
25078216,EMEIEF ENEAS DIAS CORREIA,2509206,-7.1755609,-35.7349044,True,True,True
25078275,EMEIEF MANOEL MACHADO DA NOBREGA,2509206,-7.1813002,-35.7323005,True,True,True
25078321,EMEIEF ROGACIANO NUNES,2509206,-7.1615724,-35.7026103,True,True,True
25078348,EMEF SUZETE DIAS CORREIA,2509206,-7.1813276,-35.7358062,True,True,True
